PERIODO,CENTRAL,AGENTE,AGENTE DESCRIPCION,REGION,CATEGORIA REGION,TIPO_MAQUINA,FUENTE GENERACION,TECNOLOGIA,POTENCIA INSTALADA [MW]
2016-05-01,ABRO,CTBROWNG,C.T. ALMIRANTE BROWN,GRAN BS.AS.,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,25.0
2016-05-01,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON           ,COMAHUE,Comahue,TG,Térmica,Ciclos Combinados,184.4
2016-05-01,ADTOHI,HIDIAMAG,H. DIAMANTE SA                ,CUYO,Cuyo,HI,Hidráulica,Hidráulica,150.0
2016-05-01,AESP,CTAESPAG,C.T. AES PARANA,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Ciclos Combinados,525.96
2016-05-01,AESP,CTAESPAG,C.T. AES PARANA,BUENOS AIRES,Gba - Litoral - Buenos Aires,TV,Térmica,Ciclos Combinados,319.3
2016-05-01,ALEM,CTALEMAG,CT ALEM - AGGREKO,NORESTE,Nea,DI,Térmica,Motor Diesel,15.0
2016-05-01,ALICHI,HALICURG,AES ALICURA.,COMAHUE,Comahue,HI,Hidráulica,Hidráulica,1050.0
2016-05-01,ALUM,CTALUMSG,CT ALUMINÉ - SECCO,COMAHUE,Comahue,DI,Térmica,Motor Diesel,6.3
2016-05-01,AMEGHI,HAMEGHIG,HIDROELECTRICA AMEGHINO SA,PATAGONICA,Patagonia,HR,Renovable,Hidráulica Renovable,46.8
2016-05-01,ANAT,CTANA2SG,CT AÑATUYA II - SULLAIR,NOROESTE,Noa,DI,Térmica,Motor Diesel,11.5
2016-05-01,ANAT,CTANATSG,CT AÑATUYA - SULLAIR,NOROESTE,Noa,DI,Térmica,Motor Diesel,19.2
2016-05-01,ARA2EO,PEARAU2G,PARQUE EOLICO ARAUCO II SAPEM,NOROESTE,Noa,EO,Renovable,Eólica,25.2
2016-05-01,ARAUEO,PEARAUCG,PARQUE EOLICO ARAUCO SAPEM,NOROESTE,Noa,EO,Renovable,Eólica,25.2
2016-05-01,ARGE,SIDERCAC,SIDERCA SA(EX ARGENER-GEN.PAR),BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,163.3
2016-05-01,ARIS,CTARIVSG,CT ARISTOBU.DEL VALLE-SOENERGY,NORESTE,Nea,DI,Térmica,Motor Diesel,15.0
2016-05-01,ARMA,CTLARM2G,CT LAS ARMAS II - EMGASUD,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,23.37
2016-05-01,ARMA,CTLARMAG,CT LAS ARMAS - EMGASUD,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,10.4
2016-05-01,ARRE,CTARREAG,CT ARRECIFES-AGGREKO,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,20.0
2016-05-01,ARROHI,HCHOCONG,HIDROELECTRICA EL CHOCON SA   ,COMAHUE,Comahue,HI,Hidráulica,Hidráulica,127.8
2016-05-01,ATU2,NUCLEOEG,NUCLEOELECTRICA ARG. SA       ,BUENOS AIRES,Gba - Litoral - Buenos Aires,NU,Nuclear,Nuclear,745.0
2016-05-01,ATUC,NUCLEOEG,NUCLEOELECTRICA ARG. SA       ,BUENOS AIRES,Gba - Litoral - Buenos Aires,NU,Nuclear,Nuclear,362.0
2016-05-01,AVAL,CTALVALG,C.TERMICA ALTO VALLE          ,COMAHUE,Comahue,TG,Térmica,Ciclos Combinados,50.0
2016-05-01,AVAL,CTALVALG,C.TERMICA ALTO VALLE          ,COMAHUE,Comahue,TG,Térmica,Turbina a gas,16.0
2016-05-01,AVAL,CTALVALG,C.TERMICA ALTO VALLE          ,COMAHUE,Comahue,TV,Térmica,Ciclos Combinados,30.0
2016-05-01,BARI,CTBARISG,CT BARILOCHE -SOENERGY,COMAHUE,Comahue,DI,Térmica,Motor Diesel,20.0
2016-05-01,BBLA,CPBUENAG,CENTRAL PIEDRABUENA S.A.,BUENOS AIRES,Gba - Litoral - Buenos Aires,TV,Térmica,Turbovapor,620.0
2016-05-01,BLOP,CTBRILOG,CT BRIGADIER LOPEZ - ENARSA,LITORAL,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,280.0
2016-05-01,BRAG,CTBRAGAG,CT BRAGADO - EMGASUD,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,49.8
2016-05-01,BROW,TGBROWNG,TERMOELECTRICA GUILLERMO BROWN,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,563.8
2016-05-01,BSAS,CCOSTANG,ENDESA COSTANERA SA,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Ciclos Combinados,218.5
2016-05-01,BSAS,CCOSTANG,ENDESA COSTANERA SA,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TV,Térmica,Ciclos Combinados,103.1
2016-05-01,BVIL,CTBELLSG,CT BELL VILLE - SULLAIR,CENTRO,Centro,DI,Térmica,Motor Diesel,15.6
2016-05-01,CACHHI,CEMPPOMG,CONSORCIO POTRERILLOS,CUYO,Cuyo,HI,Hidráulica,Hidráulica,120.0
2016-05-01,CADIHI,HTUCUMAG,HIDROELECTRICA TUCUMAN SA     ,NOROESTE,Noa,HR,Renovable,Hidráulica Renovable,12.6
2016-05-01,CALEHI,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,HR,Renovable,Hidráulica Renovable,4.4
2016-05-01,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,COMAHUE,Comahue,TG,Térmica,Ciclos Combinados,176.1
2016-05-01,CAPE,CAPEX-QA,CAPEX S.A. AUTOGENERADOR,COMAHUE,Comahue,TV,Térmica,Ciclos Combinados,301.0
2016-05-01,CARL,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,DI,Térmica,Motor Diesel,11.22
2016-05-01,CARRHI,CEMPPOMG,CONSORCIO POTRERILLOS,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,17.0
2016-05-01,CASSHI,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,HR,Renovable,Hidráulica Renovable,16.2
2016-05-01,CAST,CTCASTAG,CT CASTELLI - AGGREKO,NORESTE,Nea,DI,Térmica,Motor Diesel,15.0
2016-05-01,CATA,EDECATKG,EDECAT GENERACION,NOROESTE,Noa,DI,Térmica,Motor Diesel,17.56
2016-05-01,CATD,CTCATASG,CT CATAMARCA - SECCO,NOROESTE,Noa,DI,Térmica,Motor Diesel,19.2
2016-05-01,CAVI,CTCAVISG,CT CAVIAHUE - SECCO,COMAHUE,Comahue,DI,Térmica,Motor Diesel,5.0
2016-05-01,CCOLHI,CHCARACG,C.H.LOS CARACOLES - EPSE,CUYO,Cuyo,HI,Hidráulica,Hidráulica,121.4
2016-05-01,CCORHI,AESJURAG,AES JURAMENTO,NOROESTE,Noa,HI,Hidráulica,Hidráulica,100.5
2016-05-01,CDPI,CTMENZAG,C. TERMICAS MENDOZA SA        ,CUYO,Cuyo,TG,Térmica,Turbina a gas,14.0
2016-05-01,CEJEHI,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,HR,Renovable,Hidráulica Renovable,1.1
2016-05-01,CEMO,UGMCEN1G,UGEM 04 - CENTRO - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,19.6
2016-05-01,CEMO,UGMCEN2G,UGEM 08 - CENTRO - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,20.0
2016-05-01,CEMO,UGMCEN3G,UGEM 17 - CENTRO - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,20.08
2016-05-01,CEMO,UGMCEN4G,UGEM 18 - CENTRO - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,9.92
2016-05-01,CERE,CTCERSSG,CT CERES - SECCO,LITORAL,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,18.0
2016-05-01,CERI,ECOENERG,ECOENERGÍA - PETROBRAS,BUENOS AIRES,Gba - Litoral - Buenos Aires,TV,Térmica,Turbovapor,13.2
2016-05-01,CESPHI,CHCESPEG,CENTRAL HIDRAULICA CESPEDES,COMAHUE,Comahue,HR,Renovable,Hidráulica Renovable,5.2
2016-05-01,CHAR,CTCHARSG,CT CHARATA - SULLAIR,NORESTE,Nea,DI,Térmica,Motor Diesel,19.8
2016-05-01,CHI1FV,CFCHIM1G,C.FOTOV. CHIMBERAS 1-ENARSA,CUYO,Cuyo,FV,Renovable,Solar,2.0
2016-05-01,CHIL,EDELARFG,EDELAR GENERACION,NOROESTE,Noa,DI,Térmica,Motor Diesel,5.04
2016-05-01,CHLE,CTCHILSG,CT CHILECITO - SECCO,NOROESTE,Noa,DI,Térmica,Motor Diesel,10.0
2016-05-01,CHOCHI,HCHOCONG,HIDROELECTRICA EL CHOCON SA   ,COMAHUE,Comahue,HI,Hidráulica,Hidráulica,1260.0
2016-05-01,CIPO,CTCIPOAG,CT CIPOLLETI - AGGREKO,COMAHUE,Comahue,DI,Térmica,Motor Diesel,5.0
2016-05-01,CIPOHI,CHCIPOLG,CENTRAL HIDRAULICA CIPOLLETTI,COMAHUE,Comahue,HR,Renovable,Hidráulica Renovable,5.4
2016-05-01,COLB,CTCOLBUG,CT COLON BS.AS - SULLAIR,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,15.3
2016-05-01,CONDHI,CEMPPOMG,CONSORCIO POTRERILLOS,CUYO,Cuyo,HI,Hidráulica,Hidráulica,61.0
2016-05-01,COROHI,GEMSAMEG,GENERADORA ELECTRICA MENDOZ.SA,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,6.64
2016-05-01,CORR,CTCORRAG,CT CORRIENTES - AGGREKO,NORESTE,Nea,DI,Térmica,Motor Diesel,20.0
2016-05-01,COST,CCOSTANG,ENDESA COSTANERA SA,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Ciclos Combinados,528.8
2016-05-01,COST,CCOSTANG,ENDESA COSTANERA SA,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TV,Térmica,Ciclos Combinados,322.2
2016-05-01,COST,CCOSTANG,ENDESA COSTANERA SA,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TV,Térmica,Turbovapor,1131.0
2016-05-01,CPIEHI,CASAPIEG,CENTRAL CASA DE PIEDRA        ,COMAHUE,Comahue,HI,Hidráulica,Hidráulica,60.0
2016-05-01,CRIV,CTPATAGG,C.T. PATAGONICAS SA           ,PATAGONICA,Patagonia,TG,Térmica,Turbina a gas,73.0
2016-05-01,CSAR,CTCSARSG,CT CAPITAN SARMIENTO - SECCO,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,5.0
2016-05-01,CUMO,UGMCUYOG,UGEM 03 - CUYO - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,20.001
2016-05-01,CURU,CTCURU2G,CT CONC.DEL URUGUAY II-EMGASUD,LITORAL,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,21.12
2016-05-01,CURU,CTCURUGG,CT CONC.DEL URUGUAY - EMGASUD,LITORAL,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,20.67
2016-05-01,CVIEHI,CVIENTOG,HIDR.CUESTA DEL VIENTO - EPSE,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,10.55
2016-05-01,DFUN,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,DI,Térmica,Motor Diesel,3.12
2016-05-01,DFUN,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,TG,Térmica,Turbina a gas,32.0
2016-05-01,DIADEO,HYCHICOG,HYCHICO P. EOLICO DIADEMA,PATAGONICA,Patagonia,EO,Renovable,Eólica,6.3
2016-05-01,DIQU,CTDIQUEG,CENTRAL DIQUE S.A.            ,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,55.0
2016-05-01,DSUD,CTDOCKSG,CENTRAL DOCK SUD              ,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Ciclos Combinados,512.9
2016-05-01,DSUD,CTDOCKSG,CENTRAL DOCK SUD              ,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,72.0
2016-05-01,DSUD,CTDOCKSG,CENTRAL DOCK SUD              ,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TV,Térmica,Ciclos Combinados,284.6
2016-05-01,EBAR,CTBARRAG,CT BARRAGAN - ENARSA,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,567.0
2016-05-01,ELEP,ELEPCRUG,ELECTROPATAGONIA-C.RIV-C.COMB.,PATAGONICA,Patagonia,TG,Térmica,Ciclos Combinados,42.0
2016-05-01,ELEP,ELEPCRUG,ELECTROPATAGONIA-C.RIV-C.COMB.,PATAGONICA,Patagonia,TV,Térmica,Ciclos Combinados,21.0
2016-05-01,EMBA,NUCLEOEG,NUCLEOELECTRICA ARG. SA       ,CENTRO,Centro,NU,Nuclear,Nuclear,648.0
2016-05-01,ENSE,LAPLATAC,LA PLATA COGENERACION SA,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,128.0
2016-05-01,ESCAHI,HTUCUMAG,HIDROELECTRICA TUCUMAN SA     ,NOROESTE,Noa,HR,Renovable,Hidráulica Renovable,24.0
2016-05-01,ESQD,CTESQUSG,CT ESQUINA - SOENERGY,NORESTE,Nea,DI,Térmica,Motor Diesel,16.5
2016-05-01,ETIGHI,HIDIAMAG,H. DIAMANTE SA                ,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,14.0
2016-05-01,FILO,FILOMORG,C.T. FILO MORADO              ,COMAHUE,Comahue,TG,Térmica,Turbina a gas,62.9
2016-05-01,FORD,CTFORMAG,CT FORMOSA - APR ENERGY,NORESTE,Nea,DI,Térmica,Motor Diesel,30.0
2016-05-01,FRIA,CTFRIASG,GENERACION FRIAS S.A.,NOROESTE,Noa,TG,Térmica,Turbina a gas,60.0
2016-05-01,FSIMHI,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,HR,Renovable,Hidráulica Renovable,10.5
2016-05-01,FUTAHI,HFUTALEG,HIDROELECTRICA FUTALEUFU SA,PATAGONICA,Patagonia,HI,Hidráulica,Hidráulica,472.0
2016-05-01,GBEL,TMBELGRG,TERMOELECTRICA M.BELGRANO S.A.,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Ciclos Combinados,593.02
2016-05-01,GBEL,TMBELGRG,TERMOELECTRICA M.BELGRANO S.A.,BUENOS AIRES,Gba - Litoral - Buenos Aires,TV,Térmica,Ciclos Combinados,275.2
2016-05-01,GBMO,UGMGB10G,UGEM 26 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,28.0
2016-05-01,GBMO,UGMGB11G,UGEM 23 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,49.98
2016-05-01,GBMO,UGMGBA1G,UGEM 01 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,19.995
2016-05-01,GBMO,UGMGBA2G,UGEM 02 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,20.006
2016-05-01,GBMO,UGMGBA3G,UGEM 07 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,20.0
2016-05-01,GBMO,UGMGBA4G,UGEM 12 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,15.004
2016-05-01,GBMO,UGMGBA5G,UGEM 13 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,15.004
2016-05-01,GBMO,UGMGBA6G,UGEM 14 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,20.0
2016-05-01,GBMO,UGMGBA7G,UGEM 15 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,20.0
2016-05-01,GBMO,UGMGBA8G,UGEM 25 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,32.0
2016-05-01,GBMO,UGMGBA9G,UGEM 22 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,50.0
2016-05-01,GBMO,UGMGB12G,UGEM 21 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,18.92
2016-05-01,GBMO,UGMGB13G,UGEM 24 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,50.004
2016-05-01,GEBA,GENELBAG,GENELBA - PETROBRAS,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Ciclos Combinados,437.4
2016-05-01,GEBA,GENELBAG,GENELBA - PETROBRAS,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TV,Térmica,Ciclos Combinados,236.2
2016-05-01,GEBA,GENELPLG,GENELBA PLUS- PETROBRAS,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,164.55
2016-05-01,GOYD,CTGOYASG,CT GOYA - SECCO,NORESTE,Nea,DI,Térmica,Motor Diesel,13.0
2016-05-01,GUEM,CTGUEMEG,C.TERMICA GUEMES S.A.,NOROESTE,Noa,TV,Térmica,Turbovapor,261.0
2016-05-01,GUEM,CTGUEPLG,C.TERMICA GUEMES S.A.PLUS,NOROESTE,Noa,TG,Térmica,Turbina a gas,100.0
2016-05-01,HON1FV,CFCAHO1G,C.FOTOV. CAÑADA HONDA I-ENARSA,CUYO,Cuyo,FV,Renovable,Solar,2.0
2016-05-01,HON2FV,CFCAHO2G,C.FOTOV. CAÑADA HONDA 2-ENARSA,CUYO,Cuyo,FV,Renovable,Solar,3.0
2016-05-01,INDE,GINDEPEG,GENERACION INDEPENDENCIA S.A.,NOROESTE,Noa,TG,Térmica,Turbina a gas,120.0
2016-05-01,INMO,UGMBAI2G,UGEM 16 - BA INT - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,10.0
2016-05-01,INTA,CTINTASG,CT INTA CATAMARCA - SECCO,NOROESTE,Noa,DI,Térmica,Motor Diesel,7.0
2016-05-01,ISVE,CTISLAAG,CT ISLA VERDE - AGGREKO,CENTRO,Centro,DI,Térmica,Motor Diesel,24.5
2016-05-01,ITAT,CTITATTG,CT ITATI - TURBODISEL,NORESTE,Nea,DI,Térmica,Motor Diesel,6.0
2016-05-01,JUAR,CTJUARSG,CT ING JUAREZ - SECCO,NORESTE,Nea,DI,Térmica,Motor Diesel,4.0
2016-05-01,JUNI,CTJUNISG,CT JUNIN - SOENERGY,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,22.0
2016-05-01,LBAN,GELABANG,GENERACION LA BANDA S.A.,NOROESTE,Noa,TG,Térmica,Turbina a gas,26.0
2016-05-01,LBLA,CTLBLASG,CT LAGUNA BLANCA - SECCO,NORESTE,Nea,DI,Térmica,Motor Diesel,7.0
2016-05-01,LDCU,CTMENZAC,C T MENDOZA COGENERADOR       ,CUYO,Cuyo,TG,Térmica,Turbina a gas,45.6
2016-05-01,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA        ,CUYO,Cuyo,TG,Térmica,Ciclos Combinados,249.82
2016-05-01,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA        ,CUYO,Cuyo,TV,Térmica,Ciclos Combinados,124.39
2016-05-01,LDCU,CTMENZAG,C. TERMICAS MENDOZA SA        ,CUYO,Cuyo,TV,Térmica,Turbovapor,120.0
2016-05-01,LDCUHI,PAHCTMEG,PAH CT MENDOZA - ENARSA,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,1.0
2016-05-01,LDLA,PAMPAENG,C.T. LOMA DE LA LATA S.A.,COMAHUE,Comahue,TG,Térmica,Ciclos Combinados,375.0
2016-05-01,LDLA,PAMPAENG,C.T. LOMA DE LA LATA S.A.,COMAHUE,Comahue,TV,Térmica,Ciclos Combinados,165.0
2016-05-01,LEVA,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,DI,Térmica,Motor Diesel,10.78
2016-05-01,LEVA,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,TG,Térmica,Turbina a gas,53.5
2016-05-01,LIBE,CTLIBESG,CT LIBERTADOR GSM - SULLAIR,NOROESTE,Noa,DI,Térmica,Motor Diesel,15.26
2016-05-01,LINC,CTLINCSG,CT LINCOLN - SOENERGY,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,15.0
